FA,Codigo,ORGAO ORCAMENTARIO,FONTE,EXERCICIO FINANCEIRO,Receita
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2017,2017,248944083
DEFESA,52000,Ministerio da Defesa,LDO-2016,2016,9542062109
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2016,2016,2316105212
AERONAUTICA,52111,Comando da Aeronautica,LDO-2016,2016,1533000000
EXERCITO,52121,Comando do Exercito,LDO-2016,2016,142789191
MARINHA,52131,Comando da Marinha,LDO-2016,2016,663031253
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2016,2016,7770428
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2016,2016,74249150
EXERCITO,52222,Fundacao Osorio,LDO-2016,2016,907476
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2016,2016,21990975
MARINHA,52233,Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL,LDO-2016,2016,11906690
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2016,2016,3600132
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2016,2016,24967114
DEFESA,52903,Fundo do Servico Militar,LDO-2016,2016,7132056
AERONAUTICA,52911,Fundo Aeronautico,LDO-2016,2016,2568966238
EXERCITO,52921,Fundo do Exercito,LDO-2016,2016,1207720536
MARINHA,52931,Fundo Naval,LDO-2016,2016,731487183
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2016,2016,226438475
